YEARMADERANGE,BEDROOMS,NCOMBATH,NHAFBATH,WALLTYPE,OUTLET,STOVEN,SEPCOOKTUSE,SEPOVENUSE,AMTMICRO,NUMMEAL,TOAST,COFFEE,DWASHUSE,AGEDW,WASHTEMP,DRYRUSE,TVCOLOR,TVSIZE1,TVONWD1,TVONWE1,TVAUDIOSYS,DESKTOP,NUMLAPTOP,NUMTABLET,ELPERIPH,NUMSMPHONE,INTERNET,INWIRELESS,HEATHOME,EQUIPAGE,NUMBERAC,NUMCFAN,NOTMOIST,LGTINNUM,LGTIN4,HHAGE,EDUCATION,NUMADULT,ATHOME,MONEYPY,NOHEATBROKE,NOHEATEL,NOHEATDAYS,USESOLAR,TOTCSQFT,TOTHSQFT,TOTSQFT_EN,CDD30YR,KWH,KWHSPH,KWHCOL,KWHLGT
1,3,1,0,3,0,1,0,0,7,4,0,0,0,0,3,2,2,3,2,4,0,0,0,0,0,0,0,0,1,4,0,3,0,1,2,74,1,2,5,2,0,0,0,0,1872,1872,1872,1598,15472.438,0.0,4935.947,189.805
4,2,1,0,3,0,1,0,0,30,3,0,0,0,0,0,0,1,3,4,4,0,0,0,0,0,1,1,1,1,6,1,2,0,1,2,39,2,1,2,2,0,0,0,0,199,797,797,733,3972.824,0.0,401.788,494.888
5,2,1,0,5,0,1,0,0,5,3,1,1,0,0,0,0,1,3,2,1,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,65,1,2,1,1,0,0,0,0,0,476,476,686,6108.0,811.442,0.0,90.95
3,4,2,0,3,0,1,0,0,15,2,1,1,1,2,2,10,2,4,3,4,1,0,0,1,0,1,1,1,1,4,0,1,0,1,5,34,2,2,3,2,0,0,0,0,0,1880,1880,452,9904.7,1791.496,0.0,728.247
4,3,1,1,1,0,1,0,0,12,4,1,1,2,41,3,16,4,2,2,4,1,1,1,1,1,4,1,1,1,4,0,0,0,2,12,47,4,3,1,8,0,0,0,0,1493,1493,1493,2495,22456.825,5029.553,4353.818,1545.289
3,2,1,0,4,0,1,0,0,20,2,0,0,0,0,0,0,2,3,3,3,1,0,1,1,1,3,1,1,1,6,0,0,0,1,8,40,2,3,5,3,0,0,0,0,0,868,868,294,2372.145,0.0,0.0,730.845
1,3,2,0,2,1,1,0,0,10,2,1,1,0,0,2,5,1,3,4,4,0,1,1,0,1,1,1,0,1,4,1,5,0,2,8,66,3,2,5,2,0,0,0,0,142,1418,1807,405,19015.29,7755.277,561.223,590.356
4,2,2,1,4,0,1,0,0,21,3,1,1,0,5,2,1,1,1,3,3,0,0,0,0,0,0,0,0,1,3,0,0,0,2,2,85,2,1,5,2,0,0,0,0,2390,2390,2390,1534,3870.447,0.0,2303.644,392.889
4,4,2,0,4,0,1,0,0,28,1,1,1,7,41,1,3,3,4,5,5,0,1,1,2,1,3,1,1,1,2,0,0,0,3,14,77,4,3,5,4,0,0,0,0,1728,1728,1728,1225,11035.587,0.0,1280.45,1511.649
4,2,1,1,1,1,1,0,0,7,2,0,1,0,41,3,1,3,3,3,2,0,1,0,1,1,0,1,1,1,6,0,2,0,2,4,85,3,1,5,2,0,0,0,0,1314,1314,1314,526,3124.482,0.0,461.9,476.908
7,5,3,0,2,1,1,0,0,10,3,1,1,3,3,2,7,3,3,3,4,1,0,2,1,1,2,1,0,1,2,0,4,0,5,20,51,3,2,0,8,0,0,0,0,5801,5801,5801,822,10624.928,0.0,1322.241,2617.377
5,2,1,0,1,0,1,0,0,4,4,1,0,0,0,3,1,1,1,3,2,0,0,0,0,0,0,0,0,1,2,1,0,0,1,3,68,2,1,4,2,0,0,0,0,128,640,640,681,8710.838,5417.761,264.485,245.289
5,2,1,1,2,1,1,0,0,25,1,1,0,1,3,2,2,2,2,3,3,0,3,3,2,2,0,1,1,1,6,1,2,0,1,10,79,4,1,5,2,0,0,0,0,1585,1585,1585,463,5488.261,115.517,374.188,1492.552
3,1,1,0,3,1,1,0,0,10,3,1,1,0,0,3,1,1,3,4,4,0,1,0,0,0,1,1,0,1,3,0,0,0,1,1,71,2,1,5,1,0,0,0,0,1385,1385,1385,1017,5737.516,925.77,885.317,141.887
5,3,2,0,2,0,1,0,0,7,3,0,1,4,2,2,4,4,3,2,2,0,1,2,3,2,2,1,1,1,3,0,4,0,1,3,77,5,2,5,4,0,0,0,0,1855,1855,1855,1463,15838.387,0.0,2931.003,680.289
8,3,2,1,7,0,1,0,0,4,2,1,1,2,2,2,2,5,3,2,3,1,1,2,2,1,2,1,1,0,0,0,3,0,3,15,30,4,2,1,8,0,0,0,0,1900,0,1900,3486,16286.454,0.0,6651.58,2695.119
2,2,1,0,7,0,1,0,0,7,1,1,0,0,0,0,0,2,3,4,2,1,0,0,0,0,2,0,0,1,6,1,0,0,1,4,74,3,2,0,1,0,0,0,0,221,884,884,320,4110.121,1856.841,131.895,449.599
5,2,1,1,2,0,1,0,0,7,1,0,0,4,3,0,0,2,3,4,4,0,0,1,1,0,0,1,0,1,3,0,0,0,1,11,36,3,1,5,1,0,0,0,0,0,1062,1062,2474,5644.927,346.155,0.0,1356.644
1,2,1,1,3,0,1,0,0,5,3,1,0,3,3,3,2,2,3,2,2,0,1,1,3,1,2,1,1,1,4,0,0,0,2,10,27,3,2,0,4,0,0,0,0,726,726,1702,298,19107.042,4328.641,410.212,662.306
2,3,1,0,4,1,1,0,0,7,3,1,0,0,0,2,10,4,3,4,5,0,1,1,1,1,6,1,0,1,6,2,2,0,2,10,53,3,4,5,4,0,0,0,0,464,1740,2088,784,8821.619,0.0,820.833,1268.216
5,2,2,0,3,0,1,0,0,14,4,0,0,3,3,0,0,1,3,3,3,1,0,1,1,0,0,1,1,1,1,3,0,1,1,7,57,5,1,1,6,0,0,0,0,800,800,800,1038,2725.697,48.326,365.178,80.804
5,2,1,1,3,1,1,0,0,14,2,0,0,4,3,2,5,1,4,3,5,0,0,0,0,0,1,1,1,1,6,2,3,0,1,5,64,1,2,0,5,0,0,0,0,702,1754,1754,2154,12677.39,0.0,3857.338,460.268
4,1,1,0,3,0,1,0,0,7,2,0,0,0,0,2,0,2,1,3,4,0,8,0,0,0,2,0,0,1,4,0,0,0,1,4,80,2,1,0,1,0,0,0,0,1033,1291,1549,1054,5303.306,892.237,843.912,549.61
4,2,2,0,4,1,1,0,0,7,3,0,1,0,5,3,2,3,3,5,5,0,1,1,1,1,0,1,1,1,6,0,5,0,1,5,77,3,2,5,3,0,0,0,0,1398,1398,1398,3630,6833.178,410.717,836.544,773.64
4,2,1,0,4,0,1,0,0,15,4,0,0,0,2,2,7,2,2,3,5,0,0,0,0,0,1,1,1,1,3,0,3,0,1,1,31,3,2,5,2,0,0,0,0,926,926,926,2613,16617.27,4501.453,1767.826,421.229
4,3,2,0,1,1,1,0,0,6,1,0,1,5,41,2,5,3,4,4,4,0,0,0,0,0,1,0,0,1,5,0,2,0,2,8,70,2,2,5,2,0,0,0,0,1682,1682,1682,2238,8658.848,0.0,2856.564,1154.18
7,4,2,0,3,1,1,0,0,28,1,0,1,3,41,3,5,4,3,5,5,2,0,1,2,1,2,1,1,1,4,0,2,1,3,14,31,3,2,2,6,0,0,0,0,3379,3379,3379,525,9057.0,319.025,394.691,1169.413
4,3,1,1,1,0,1,0,0,20,1,0,0,0,0,3,5,4,3,4,4,2,0,1,1,1,2,1,1,1,4,3,1,0,2,15,41,2,4,5,3,0,0,0,0,505,1346,2019,1722,16276.03,0.0,2176.165,1212.139
5,3,1,0,1,1,1,0,0,4,3,1,0,3,2,2,3,4,2,4,4,0,0,1,0,1,2,1,1,1,5,1,3,0,1,0,51,2,4,5,4,0,0,0,0,3410,2273,4297,823,8071.067,0.0,2979.838,300.95
4,2,2,0,3,0,1,0,0,7,1,1,1,0,5,2,2,2,3,5,5,0,0,2,1,1,2,1,1,1,2,3,4,0,2,1,85,5,2,5,4,0,0,0,0,994,1656,1656,2849,12985.663,2903.207,4310.967,310.424
6,3,2,1,4,1,1,0,0,21,2,1,1,5,3,2,7,2,3,4,5,0,0,1,2,1,2,1,1,1,6,0,3,0,4,10,42,4,3,5,7,0,0,0,0,1968,1968,1968,4964,21367.217,0.0,9329.425,1416.481
2,2,1,0,3,0,1,0,0,7,2,0,1,0,0,2,2,3,2,5,5,0,0,0,1,0,0,0,0,1,5,0,5,0,2,2,71,2,2,5,4,0,0,0,0,993,993,1488,1682,8410.677,0.0,4019.422,198.898
5,2,1,0,2,1,1,0,0,14,3,1,1,3,3,3,5,3,2,3,4,0,0,0,0,0,3,1,1,1,3,0,1,0,2,10,24,2,2,0,2,0,0,0,0,612,612,612,1266,11921.133,839.091,425.192,2045.258
8,1,1,0,7,0,1,0,0,14,2,1,0,2,1,2,1,1,3,2,2,1,0,2,2,0,2,1,1,1,1,0,2,0,1,3,25,5,2,3,8,0,0,0,0,1432,1432,1432,598,2928.857,0.0,136.751,207.303
3,5,3,0,1,1,2,0,0,20,2,0,0,14,2,2,15,1,2,1,2,0,2,2,3,1,3,1,1,1,3,0,3,0,4,40,42,4,2,4,5,0,0,0,0,2964,2964,2964,1091,12715.32,240.025,1399.901,2839.412
4,3,2,0,4,1,1,0,0,30,1,1,0,3,41,3,6,1,3,3,4,1,0,2,1,1,2,1,1,1,2,0,1,0,1,5,36,3,3,5,3,0,0,0,0,1448,1448,1448,1601,4534.624,534.878,118.552,168.264
1,3,1,1,2,0,1,0,0,2,4,0,0,0,0,2,5,4,2,2,3,0,0,0,0,0,0,1,1,1,1,4,3,0,2,10,44,3,2,0,2,0,0,0,0,1365,2048,2048,1510,6800.515,3044.954,881.759,659.118
5,3,2,0,4,1,1,0,0,7,6,0,1,1,2,0,0,2,3,3,3,0,0,0,1,1,1,1,1,1,2,0,1,0,2,2,76,2,1,0,3,0,0,0,0,0,1260,1260,1449,5820.983,0.0,0.0,399.336
5,3,2,0,3,1,1,0,0,15,2,1,1,7,3,3,5,2,3,4,4,1,1,2,0,1,5,1,1,1,6,0,6,0,2,30,42,2,4,5,2,0,0,0,0,2448,2448,2448,1702,25905.481,6525.407,2483.18,4805.126
7,2,2,0,4,0,1,0,0,7,2,1,0,1,3,1,3,1,3,3,3,1,0,1,0,1,1,1,1,1,3,0,2,0,2,26,85,5,1,5,1,0,0,0,0,1688,1688,1688,4415,9544.0,1005.205,2401.165,1738.949
4,3,3,0,2,1,1,0,0,7,2,0,1,3,42,2,4,4,1,2,2,1,0,2,2,1,2,1,1,1,2,0,2,1,5,40,63,3,2,0,8,0,0,0,0,2571,3043,3043,874,31195.642,10878.001,1530.614,4210.031
1,1,1,0,1,0,1,0,0,4,1,1,1,0,0,0,0,2,3,5,5,2,0,0,0,0,2,1,1,1,4,1,1,1,1,4,35,2,2,0,1,0,0,0,0,337,673,673,751,2603.028,0.0,151.77,175.465
7,3,2,0,4,0,1,0,0,5,4,1,1,2,3,2,1,2,4,2,3,0,0,1,0,1,1,1,1,0,0,0,4,0,3,4,54,2,2,5,3,0,0,0,0,2000,0,2000,4446,16084.8,0.0,7556.585,349.569
1,3,1,0,3,0,1,0,0,8,4,0,0,0,0,2,3,1,2,3,3,0,0,0,1,0,2,1,1,1,3,1,3,0,1,1,41,3,2,2,2,0,0,0,0,196,980,980,1697,4688.774,0.0,854.312,166.766
3,2,1,0,9,0,1,0,0,5,3,0,0,0,0,3,3,5,1,5,5,0,0,1,0,0,1,1,1,1,5,1,6,0,2,11,46,2,1,5,1,0,0,0,0,998,998,998,2449,28766.908,514.04,6027.705,3696.395
6,3,4,1,3,1,1,0,0,14,2,1,1,7,2,2,4,2,3,2,3,0,1,0,1,1,2,1,1,1,3,0,4,0,5,17,40,5,2,5,8,0,0,0,0,4056,4056,4761,1732,13667.124,0.0,5074.819,3660.907
6,4,2,2,2,1,1,0,0,5,2,1,0,5,2,2,6,2,3,2,3,0,1,2,1,1,2,1,1,1,5,0,6,0,5,10,36,5,2,0,7,0,0,0,0,2407,2407,3329,1345,23107.647,6162.997,3485.154,742.865
1,1,1,0,2,0,0,8,0,0,3,1,1,0,0,0,0,1,2,3,3,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,66,3,1,5,1,0,0,0,0,0,600,600,2569,2898.155,882.801,0.0,115.122
3,3,2,0,7,0,1,2,0,7,1,1,1,0,0,0,0,4,1,4,5,0,1,1,2,0,5,1,1,0,0,0,0,0,1,3,46,2,7,5,4,0,0,0,0,0,0,994,1296,2776.409,0.0,0.0,168.064
7,4,2,0,4,1,1,0,0,5,4,0,1,4,1,3,3,3,3,2,2,1,0,2,2,1,2,1,1,0,0,0,5,0,3,10,28,5,2,0,6,0,0,0,0,2495,0,2495,2074,18207.651,0.0,7663.299,988.879
5,4,2,0,2,0,1,0,0,7,3,1,0,0,0,3,14,3,2,2,4,0,1,1,1,1,3,1,1,1,2,2,4,1,2,10,45,4,2,1,4,0,0,0,0,429,1500,1500,901,14699.362,2185.663,384.317,556.65
3,2,2,0,6,0,1,0,0,10,3,1,1,5,5,0,0,3,2,4,5,0,0,1,0,0,1,1,1,1,2,4,0,0,1,3,62,4,1,3,4,0,0,0,0,795,994,994,1076,5041.0,0.0,1136.224,952.369
1,3,2,0,5,1,1,0,0,14,4,0,0,0,0,2,5,1,4,3,3,1,0,3,1,0,3,1,1,1,2,0,4,0,2,10,19,3,3,1,1,0,0,0,0,1584,1584,3168,1003,14217.677,0.0,1768.497,2111.988
3,1,1,0,1,0,0,14,1,10,4,1,1,0,0,2,3,1,1,5,5,0,0,0,0,0,0,0,0,1,2,0,0,0,1,3,65,2,1,5,1,0,0,0,0,835,835,835,990,3967.414,439.609,800.436,612.305
4,3,2,0,3,0,1,0,0,9,2,1,1,3,41,3,4,4,3,3,3,0,0,1,0,0,4,1,1,1,6,0,1,0,1,5,46,2,4,5,5,0,0,0,0,4549,3312,4549,646,7055.967,0.0,1944.6,1001.763
1,3,1,1,3,1,1,0,0,30,2,1,1,0,0,2,5,2,3,2,3,1,1,0,1,1,2,1,1,1,3,0,4,0,3,12,47,4,2,1,2,0,0,0,0,1738,1738,2317,456,12038.705,0.0,1898.304,1601.478
3,4,2,0,5,0,1,0,0,21,3,0,1,0,0,2,3,4,3,2,2,0,1,0,1,1,3,1,1,1,2,4,2,1,1,1,36,1,5,0,2,0,0,0,0,792,1980,2970,847,7092.887,0.0,2689.872,180.298
7,3,2,0,6,1,1,0,0,8,5,0,0,1,3,2,2,3,3,3,4,0,0,1,1,0,2,1,1,1,3,0,6,0,3,12,54,4,2,0,8,0,0,0,0,2432,2432,2432,2895,14774.992,2723.859,3277.789,2019.586
4,2,1,0,1,0,1,0,0,12,3,0,0,0,0,0,0,1,2,4,3,0,0,0,0,0,2,1,0,1,3,0,0,0,1,0,22,2,2,3,1,0,0,0,0,997,997,997,2564,7063.0,3289.354,2103.225,100.118
3,4,2,1,2,1,1,0,0,40,2,1,1,1,3,3,3,1,3,2,2,1,2,0,2,2,2,1,1,1,4,0,1,1,4,9,62,4,2,4,8,0,0,0,0,0,3512,3512,225,11454.0,0.0,0.0,2078.086
1,5,1,1,5,1,1,0,0,20,2,1,1,5,2,1,25,5,2,4,5,0,1,0,4,1,2,1,1,1,3,6,9,0,3,20,40,2,2,5,7,0,0,0,0,2352,3528,3528,1274,28857.999,12921.033,5607.477,3756.064
6,3,2,0,4,0,1,0,0,7,3,0,1,0,0,2,2,2,3,3,4,1,1,1,1,1,2,1,1,1,5,0,0,0,2,10,43,4,2,0,3,0,0,0,0,0,1296,1296,564,3976.354,579.891,0.0,586.909
5,3,2,0,2,0,1,0,0,50,3,1,0,0,3,3,3,3,1,3,2,0,1,1,1,1,0,1,1,1,4,0,3,0,1,8,59,3,2,5,3,0,0,0,0,842,842,1622,1748,13347.406,0.0,2196.097,3422.729
1,3,2,0,2,0,1,0,0,10,3,0,1,0,0,2,2,2,2,2,1,0,0,0,0,0,0,0,0,1,6,4,2,0,1,2,66,2,2,5,2,0,0,0,0,1159,1739,1739,3095,11733.0,0.0,6326.624,586.977
1,2,1,0,2,0,1,1,0,0,4,0,1,0,0,0,0,1,1,3,2,0,0,1,0,0,0,0,0,1,3,1,0,0,1,1,74,1,1,0,1,0,0,0,0,246,984,984,2552,7353.166,0.0,5381.891,418.112
5,2,2,0,4,0,1,0,0,0,4,0,1,0,5,2,3,1,2,2,3,0,1,0,1,1,1,1,1,1,6,0,1,0,1,4,57,4,1,0,5,0,0,0,0,0,735,735,664,2934.7,38.86,0.0,753.795
7,2,2,0,1,0,1,0,0,10,1,1,1,3,41,2,3,3,4,5,4,1,1,0,1,1,2,1,1,1,4,0,2,1,2,20,30,4,2,4,4,0,0,0,0,1732,1732,1732,2784,15295.955,1781.897,1860.153,2153.319
5,3,1,0,1,0,1,0,10,20,2,1,1,0,0,0,0,4,3,3,4,0,0,1,1,0,2,1,0,1,1,0,0,0,1,1,37,3,2,2,4,0,0,0,0,769,769,769,696,4329.191,0.0,279.41,220.145
5,2,2,0,4,1,1,0,0,7,6,0,0,0,0,2,2,2,2,2,2,0,0,1,0,1,1,1,0,1,4,0,1,0,1,4,40,4,1,5,3,0,0,0,0,1754,1754,1754,1352,4393.975,617.753,832.641,251.423
3,2,1,0,1,0,1,0,0,5,2,1,0,0,2,0,0,3,3,3,4,1,0,2,2,0,2,1,1,1,1,0,2,0,2,0,31,2,2,3,1,0,0,0,0,1365,1365,1365,1678,15106.591,4998.145,1342.808,112.567
6,3,1,0,3,0,1,0,0,13,4,1,1,2,41,2,1,3,2,4,4,0,0,1,2,1,0,1,1,1,3,1,2,0,2,1,69,2,1,5,3,0,0,0,0,3400,3400,4350,965,13155.677,6882.637,1548.161,376.147
1,2,1,0,3,0,1,0,0,20,2,1,1,3,41,2,6,2,3,4,4,1,0,0,0,0,1,1,0,1,2,1,0,0,1,5,55,3,2,5,2,0,0,0,0,470,2352,3528,385,22351.162,13297.087,626.928,593.656
5,2,1,0,3,0,1,0,0,1,2,1,1,0,0,0,0,2,2,4,3,0,0,0,0,0,1,1,1,1,3,2,0,0,2,13,28,3,2,5,1,0,0,0,0,443,885,885,715,3227.011,0.0,172.74,972.27
7,4,2,0,2,1,1,0,0,8,4,0,1,2,2,2,8,2,3,5,5,0,1,1,0,1,1,1,1,1,3,0,0,0,1,4,21,3,2,0,8,0,0,0,0,1578,1978,1978,1795,11740.0,0.0,2332.053,704.136
3,2,1,0,3,0,1,0,0,15,1,0,0,0,42,2,1,1,3,3,2,1,0,1,0,0,1,1,1,1,5,0,2,0,1,0,64,5,2,5,3,0,0,0,0,0,650,650,207,5773.994,1192.43,0.0,114.062
5,3,2,0,3,0,1,0,0,10,2,1,1,2,2,3,6,2,3,4,5,0,0,0,2,0,2,1,0,1,1,3,4,0,2,20,32,3,2,3,7,0,0,0,0,720,1440,1440,981,14627.647,3557.112,995.144,1668.46
7,3,2,0,2,1,1,0,0,10,2,0,1,0,41,3,0,3,3,1,2,1,0,1,3,1,1,1,1,1,4,0,3,0,5,0,63,3,1,5,2,0,0,0,0,2040,2040,2040,1281,12657.984,1080.565,2738.906,176.762
5,3,2,0,1,1,0,7,3,10,3,1,1,1,42,2,5,2,3,3,3,0,1,0,0,1,0,1,1,1,5,0,8,0,3,10,70,2,2,5,4,0,0,0,0,2124,2124,2124,2641,7894.619,0.0,1659.478,1535.444
6,4,3,0,3,1,1,0,0,50,2,1,1,7,1,2,5,2,2,3,3,1,4,2,1,5,4,1,1,1,6,0,3,1,3,20,62,4,4,5,8,0,0,0,0,5587,5987,5987,1095,33307.622,14689.973,2155.303,2161.067
6,1,1,0,1,0,1,0,0,20,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,4,0,2,0,1,1,49,1,1,5,1,0,1,1,0,976,976,976,993,8827.903,3703.309,595.941,404.226
7,5,3,1,3,1,1,0,0,14,2,1,1,7,41,3,10,5,3,2,3,3,2,2,1,1,3,1,1,1,4,0,1,0,3,3,46,4,2,5,8,0,0,0,0,4719,4719,4719,687,9131.378,1515.127,467.969,298.101
2,1,1,0,4,0,1,0,0,10,2,1,0,0,0,2,3,2,3,4,4,0,0,1,0,0,1,1,1,1,5,0,0,0,1,2,45,2,1,5,3,0,0,0,0,0,648,648,657,3694.758,0.0,0.0,601.84
4,3,2,0,3,1,1,0,0,14,3,1,0,2,1,3,3,2,3,1,2,0,1,0,4,1,1,1,1,1,6,2,4,1,2,3,47,5,1,0,4,0,0,0,0,486,1458,2916,776,23408.609,13627.74,531.208,399.5
6,2,2,0,3,1,1,0,0,20,1,1,0,3,3,3,6,2,2,4,4,0,0,0,0,0,0,0,0,1,4,0,3,0,2,12,68,2,2,5,1,0,0,0,0,1358,1358,1358,371,15776.428,0.0,409.955,2595.116
5,2,2,0,3,1,1,0,0,45,4,1,1,0,0,2,12,2,3,3,3,0,0,2,0,1,0,1,1,1,6,1,4,0,2,2,49,3,2,4,3,0,0,0,0,980,980,980,3668,17549.599,457.701,8166.641,256.493
6,4,2,1,3,1,1,0,0,18,2,1,1,7,3,2,18,6,2,3,4,1,1,4,0,1,6,1,1,1,1,0,6,1,3,12,48,5,4,1,7,0,0,0,0,3152,3152,3152,1640,35284.323,4988.646,5641.549,2052.134
5,1,1,0,1,0,1,0,0,5,1,1,1,0,0,0,0,3,3,3,3,0,0,0,1,0,2,1,0,1,3,1,1,0,2,0,48,3,1,0,1,0,0,0,0,338,676,676,661,8000.073,3275.313,189.368,43.083
2,4,2,0,4,1,2,0,0,10,2,1,1,0,0,2,2,3,3,5,3,1,1,1,1,1,4,1,1,1,2,0,0,0,2,2,43,3,4,2,3,0,0,0,0,0,1833,1833,304,8456.821,1182.059,0.0,197.82
6,1,1,0,3,0,1,0,0,4,3,1,1,0,0,0,0,1,2,4,4,0,0,0,1,0,1,1,0,1,2,1,1,0,1,3,75,2,1,1,1,0,0,0,0,184,552,552,547,3861.416,1774.768,98.402,180.732
4,2,1,0,4,0,1,0,0,7,3,1,1,3,42,3,5,2,3,2,2,0,0,1,2,1,3,1,1,1,3,0,2,0,2,5,40,3,1,5,2,0,0,0,0,1055,1055,1055,1169,3681.494,0.0,479.11,446.829
3,3,1,1,1,1,0,7,0,4,3,0,1,0,5,3,4,2,3,3,2,0,0,0,0,0,1,0,0,1,5,0,2,0,2,8,52,2,2,5,2,0,0,0,0,1740,1740,1740,1664,11035.105,0.0,2568.851,1643.612
4,3,2,1,7,0,1,0,0,7,2,0,1,0,41,2,8,1,2,3,3,0,0,1,0,1,2,1,0,0,0,1,0,0,2,0,61,3,2,5,3,0,0,0,0,311,0,1555,3056,5025.943,0.0,2023.356,81.076
6,4,2,0,3,1,1,0,0,3,4,1,0,0,3,3,4,3,3,2,3,0,0,2,1,0,2,1,1,1,6,0,5,0,1,0,43,5,1,2,4,1,0,45,0,3152,1451,3152,1795,10130.708,2624.883,3605.954,329.064
1,2,2,1,1,0,1,0,0,4,3,0,1,1,1,3,3,2,3,2,2,0,0,3,1,0,3,1,1,1,6,4,3,0,2,3,62,2,2,0,4,0,0,0,0,1011,1516,1516,1239,3593.067,0.0,1063.658,338.396
7,3,3,0,2,1,1,0,0,16,4,0,0,2,41,2,6,1,4,3,3,1,0,1,1,1,2,1,1,1,4,2,1,0,2,1,49,5,2,5,8,0,0,0,0,2808,2306,3877,1318,7919.765,0.0,2519.605,226.876
7,4,3,0,4,0,1,0,0,14,4,1,0,0,1,3,5,2,3,3,5,0,1,1,2,1,4,1,1,1,3,0,2,0,4,12,42,3,4,5,2,0,0,0,0,1462,1462,1462,1830,8174.667,0.0,1939.048,1643.917
5,2,1,1,1,1,1,0,7,8,6,0,1,7,3,2,4,2,3,4,5,0,1,1,0,1,0,0,0,1,4,2,3,0,1,10,66,4,2,5,2,0,0,0,0,2817,2817,2817,1006,6527.971,0.0,1273.096,874.571
