YEARMADERANGE,BEDROOMS,NCOMBATH,NHAFBATH,PRKGPLC1,STOVENFUEL,OVENUSE,AMTMICRO,DEFROST,TOASTER,NUMMEAL,FUELFOOD,COFFEE,NUMFRIG,TYPERFR1,SIZRFRI1,AGERFRI1,NUMFREEZ,DWASHUSE,WASHLOAD,DRYRUSE,TVCOLOR,TVSIZE1,TVTYPE1,TVONWD1,TVONWE1,NUMPC,TIMEON1,TIMEON2,TIMEON3,INTERNET,WELLPUMP,AQUARIUM,STEREO,BATTOOLS,HEATROOM,MOISTURE,FUELH2O,COOLTYPE,ACROOMS,USECENAC,PROTHERMAC,NUMCFAN,USECFAN,TREESHAD,RECBATH,LIGHTS,SLDDRS,WINDOWS,ADQINSUL,USENG,USESOLAR,ELWARM,ELCOOL,ELWATER,ELFOOD,EMPLOYHH,Householder_Race,EDUCATION,NHSLDMEM,MEANAGE,RETIREPY,MONEYPY,POVERTY150,TOTSQFT,TOTHSQFT,TOTCSQFT,KWH,WSF
8,5,2,1,1,1,6,4,1,0,5,1,1,1,21,4,3,0,2,7,3,4,3,2,4,8,2,1,1,0,1,0,0,0,0,8,0,1,1,8,2,1,1,3,0,0,67.5,0,22,3,0,0,1,1,1,1,1,2,5,5,25.4,0,110000,0,3280,2560,2560,27406,0.48
7,3,3,1,1,0,3,4,1,0,5,1,1,3,21,4,7,0,3,7,3,7,2,2,12,12,4,5,1,1,1,0,0,1,2,7,0,0,1,7,3,1,5,3,1,0,37,0,22,4,1,0,1,1,0,1,0,1,2,2,71.5,1,130000,0,4409,3759,3759,23179,0.59
2,3,1,1,0,1,9,2,1,0,10,1,1,1,1,3,7,1,8,13,2,3,2,1,2,4,2,1,1,0,1,0,0,0,2,7,1,0,1,5,2,1,1,2,0,0,5,0,12,3,1,0,0,1,0,1,1,1,5,5,23.4,0,77500,0,2706,2706,1414,11584,0.69
4,1,1,0,0,1,16,1,1,1,7,1,0,2,22,4,7,0,0,3,3,1,3,2,2,2,1,2,0,0,0,0,0,1,2,5,0,1,1,5,3,0,0,0,1,0,0,0,22,3,0,0,1,1,1,1,0,1,2,2,49,0,32500,0,1080,1080,1080,14730,0.41
1,1,1,0,0,0,1,3,1,0,1,0,0,1,22,2,3,0,0,0,0,1,1,1,1,2,2,10,10,0,1,0,0,0,2,2,0,0,1,2,2,0,2,1,1,0,67.5,0,7,2,1,0,1,1,0,0,1,4,5,1,29,0,47500,0,409,409,409,17629,0.35
5,4,1,1,0,1,9,3,1,0,7,1,1,1,22,4,12,1,5,7,3,3,2,1,4,1,3,5,5,10,1,1,0,0,6,6,0,1,0,0,0,0,1,1,1,1,10.5,1,12,3,0,0,0,0,1,1,0,1,3,2,58,1,42500,0,2932,2932,0,5928,0.6
1,1,1,0,0,0,1,0,0,0,7,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,1,8,0,0,1,0,0,0,0,4,1,1,0,0,0,0,1,2,1,0,5,0,7,1,1,0,0,0,1,0,0,1,6,2,43.5,0,32500,0,425,425,0,1164,0.7
5,2,1,0,0,0,0,4,1,0,7,0,0,1,22,2,2,0,0,0,0,1,3,1,2,1,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,1,0,21,0,12,2,1,0,0,0,0,0,0,1,3,3,12,0,3750,1,675,675,0,3727,0.55
4,1,1,0,0,1,1,3,1,1,3,1,0,1,22,3,2,0,5,0,0,1,2,1,2,2,1,1,0,0,1,0,0,1,2,3,0,1,1,3,3,1,4,2,0,0,27.5,1,4,4,0,0,1,1,1,1,0,1,5,1,75,1,27500,0,800,600,600,10037,0.41
4,3,2,0,1,0,6,2,0,0,7,0,0,1,21,4,17,1,0,7,3,5,3,2,4,8,4,10,1,1,1,0,0,0,6,6,0,0,0,0,0,0,4,2,0,0,13,1,7,3,1,0,0,0,0,0,2,1,4,7,16.85714286,0,52500,0,1675,1275,0,6351,0.5
6,3,2,1,0,0,9,3,1,1,10,0,1,1,21,4,22,1,3,3,3,4,3,2,4,4,1,5,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,21,1,12,3,1,0,0,0,0,0,0,1,3,2,74.5,1,130000,0,3024,3024,0,4947,0.4
3,5,4,0,1,0,3,3,0,1,7,1,1,2,21,4,3,0,5,3,3,3,3,3,4,4,1,2,0,0,1,0,0,0,10,9,0,1,1,9,2,1,7,3,1,1,15,0,12,3,0,0,1,1,1,1,1,1,5,4,18.5,0,130000,0,4162,3512,3512,10598,0.47
3,3,2,0,1,1,6,2,0,0,5,1,1,2,23,4,7,1,3,7,3,5,3,5,4,4,2,10,10,0,1,0,0,1,10,8,1,0,3,8,3,1,2,1,1,0,26,0,18,4,1,0,1,1,0,1,2,1,2,2,57.5,0,52500,0,3830,3830,1926,11150,0.57
8,1,1,0,0,1,1,4,0,0,3,1,0,1,22,4,3,0,1,1,3,1,3,1,2,2,1,8,0,0,1,0,0,0,0,3,0,1,1,3,1,0,2,1,0,0,10.5,0,2,4,0,0,1,1,1,1,1,6,4,1,25,0,27500,0,783,783,783,8745,0.39
5,2,1,1,0,1,3,4,0,1,7,1,1,1,22,3,7,0,2,0,0,1,2,2,4,4,1,5,0,0,1,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,1,7,2,0,0,0,1,0,1,1,1,5,1,42,0,130000,0,1365,1365,819,2422,0.49
6,4,6,3,1,0,9,2,1,1,10,0,1,4,1,5,12,1,8,7,2,4,2,5,4,4,4,2,2,1,1,0,0,1,6,10,0,0,1,10,3,1,3,2,0,0,8,0,30,4,1,0,0,1,0,1,1,1,6,4,20.25,0,130000,0,5739,5739,5089,59892,0.54
7,2,2,0,0,1,6,4,1,0,5,1,1,1,22,3,7,0,3,3,3,3,3,2,4,12,2,5,1,0,1,0,0,1,2,4,0,1,1,4,3,1,3,3,0,0,2.5,1,4,4,0,0,1,1,1,1,1,1,5,2,23,0,22500,0,1100,1100,1100,10409,0.54
5,3,2,0,1,1,6,2,0,0,5,1,1,2,21,5,17,0,3,7,3,2,3,2,12,12,1,2,0,0,1,0,0,0,0,6,0,1,1,6,3,1,5,0,0,0,85,1,12,3,0,0,1,1,1,1,0,1,3,2,67.5,1,37500,0,2250,1850,1850,30730,0.37
7,1,1,0,0,0,9,1,0,0,10,0,1,1,22,4,7,0,0,0,0,1,2,1,2,2,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,33,0,4,4,1,0,0,1,0,0,0,1,5,2,80,0,37500,0,446,446,298,3698,0.54
5,2,1,1,0,1,6,3,1,1,7,1,0,1,22,3,7,0,2,3,3,2,3,2,4,8,3,5,5,2,1,0,0,0,2,5,0,1,1,5,1,0,1,2,0,0,21,1,4,3,0,0,1,1,1,1,2,2,3,2,27.5,0,37500,0,835,835,835,8072,0.45
2,2,2,0,0,0,6,2,0,0,10,0,1,2,23,5,3,0,5,3,3,3,2,1,4,12,1,2,0,0,1,0,0,1,2,4,0,0,1,4,3,1,4,3,1,1,10.5,0,12,3,1,0,0,1,0,0,0,1,2,2,61.5,1,47500,0,1554,1554,1554,17573,0.57
2,2,1,1,0,0,6,2,0,0,7,0,0,1,21,4,12,0,0,0,0,2,2,1,2,4,0,0,0,0,0,0,0,1,0,4,0,0,2,0,0,0,3,1,0,0,5,1,12,4,1,0,0,1,0,0,2,7,3,1,65,1,22500,0,564,564,141,5251,0.37
1,3,1,1,0,0,6,1,0,0,7,0,0,1,23,3,7,0,2,3,3,2,2,2,4,2,1,2,0,0,1,0,0,0,6,6,1,0,1,6,2,0,1,2,1,0,105.5,1,30,2,1,0,0,1,0,0,0,1,7,2,66.5,1,32500,0,3483,2322,2322,8953,0.57
6,3,2,0,1,1,9,4,1,0,7,1,0,1,23,3,3,1,5,3,3,3,2,2,8,8,1,2,0,0,1,1,1,0,2,5,1,1,1,5,3,1,5,1,1,0,15,0,12,3,0,0,1,1,1,1,0,1,2,2,73.5,1,22500,0,2816,2416,2416,16443,0.4
3,3,1,1,0,0,1,2,0,0,5,1,1,2,21,4,7,1,8,7,3,2,3,2,4,4,3,2,1,1,1,0,0,1,10,8,1,0,1,6,3,1,6,3,0,0,31,0,7,2,1,0,0,1,0,1,0,1,2,2,62,1,67500,0,4400,3850,3025,11604,0.45
6,4,3,1,1,0,6,2,0,1,7,0,1,3,21,4,3,1,2,3,3,4,3,2,2,2,2,5,1,0,1,0,0,1,6,8,0,0,1,8,2,1,1,3,1,0,32,0,4,4,0,0,1,1,0,0,2,1,5,2,58.5,1,110000,0,2040,2040,1640,12383,0.56
2,2,2,0,0,1,16,3,1,1,10,1,1,1,23,5,2,1,1,3,3,2,3,2,8,8,1,2,0,0,1,0,0,0,2,7,0,1,1,7,2,0,1,1,1,0,31.5,0,12,3,1,0,1,1,1,1,2,1,2,3,43.33333333,0,42500,0,1656,1656,1656,14462,0.43
1,3,1,0,0,1,6,2,1,1,7,1,0,1,22,3,7,0,5,7,2,3,3,4,8,12,8,5,10,8,1,0,0,0,0,6,0,0,3,4,1,1,2,2,0,0,116,1,22,2,1,0,1,1,0,1,1,1,3,4,39,0,130000,0,1381,912,912,15095,0.45
2,3,2,0,1,0,6,3,0,1,7,0,1,2,23,4,7,1,8,7,3,2,3,5,4,4,4,10,5,10,1,0,0,1,0,5,0,0,1,5,1,0,4,3,0,0,22.5,0,7,3,1,0,0,1,0,0,0,1,3,3,61,1,42500,0,2220,1517,1517,7304,0.4
6,3,2,1,0,1,1,3,0,0,5,1,1,2,21,4,7,0,5,7,3,5,2,2,8,12,2,2,1,0,1,0,0,1,6,8,0,0,1,8,3,1,8,3,0,0,45,0,22,4,1,0,0,1,0,1,1,1,5,2,58,0,130000,0,2552,2552,2552,21526,0.4
1,2,1,0,0,1,1,2,0,0,3,1,0,1,22,4,22,1,0,3,3,2,1,1,4,8,0,0,0,0,0,0,0,0,2,5,0,1,2,0,0,0,2,3,1,0,16,0,7,3,0,0,1,1,1,1,0,1,2,2,52.5,1,32500,0,825,713,120,23569,0.55
1,2,1,0,0,0,0,0,0,1,5,0,1,1,22,4,17,0,0,1,0,2,1,1,2,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,1,0,0,28.5,0,7,2,1,0,0,0,0,0,0,2,2,1,85,1,8750,1,1073,1073,0,2012,0.57
3,3,1,1,0,1,9,3,0,0,10,1,1,1,21,4,12,0,0,7,3,2,1,2,1,8,1,5,0,0,1,0,0,1,2,8,0,1,1,8,3,0,5,3,1,0,63,1,12,3,0,0,1,1,1,1,0,1,6,3,23.66666667,0,32500,0,1705,1705,1705,16266,0.38
7,2,2,0,0,1,6,0,0,0,10,1,1,1,22,3,7,0,1,3,3,2,3,2,4,8,1,8,0,0,1,0,0,0,0,4,0,1,1,4,3,0,1,1,0,0,36,0,4,3,0,0,1,1,1,1,0,1,3,1,21,0,2000,1,1003,1003,1003,9917,0.53
1,3,1,1,0,0,9,2,0,1,7,1,1,2,22,3,12,0,3,3,3,3,3,2,4,4,1,2,0,0,1,0,0,0,6,6,1,1,2,0,0,0,2,1,1,0,0,0,7,2,1,0,1,1,1,1,1,1,4,2,64.5,1,82500,0,3674,2045,1363,7175,0.51
1,1,1,0,0,0,0,1,0,0,3,0,0,1,22,3,7,0,0,1,0,2,2,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,1,1,0,0,21,0,7,4,1,0,0,1,0,0,1,1,2,1,54,0,12500,1,787,787,262,2527,0.6
1,2,1,1,0,1,6,3,1,0,7,1,0,1,22,3,7,0,3,7,3,2,3,1,2,2,1,5,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,4,5,1,25,0,2000,1,1045,0,1045,6957,0.41
4,3,2,1,0,1,3,2,1,0,7,1,0,1,22,3,12,0,0,1,3,2,3,3,1,2,3,8,8,8,1,0,0,1,2,6,0,1,1,6,1,0,1,1,0,0,0,1,4,3,0,0,1,1,1,1,1,1,6,1,55,0,130000,0,1598,1369,1369,11482,0.43
4,0,1,0,0,1,1,1,0,0,10,1,1,1,22,3,7,0,0,0,0,1,2,3,4,4,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,4,4,0,0,1,1,1,1,0,1,1,2,73,1,8750,1,866,866,866,4238,0.38
1,2,1,1,0,1,6,1,0,1,5,1,0,1,22,3,7,0,3,3,3,1,2,2,1,2,1,2,0,0,1,0,0,0,0,5,0,0,0,0,0,0,1,1,1,0,10.5,0,7,2,1,0,0,0,0,1,1,1,3,2,25.5,0,72500,0,2295,1530,0,6771,0.48
3,3,1,0,0,0,1,2,0,0,18,0,0,1,22,4,2,0,0,0,0,3,2,1,4,4,1,1,0,0,0,0,0,0,0,4,0,0,1,6,2,0,2,3,0,0,10.5,0,7,3,1,0,0,1,0,0,0,1,1,3,20.33333333,0,12500,1,1131,754,1131,6508,0.67
2,5,2,1,1,0,6,3,1,0,10,0,1,3,21,5,7,1,3,3,3,3,3,2,8,4,2,2,1,0,1,0,0,1,2,8,0,0,1,7,3,1,6,2,1,0,65,1,12,4,0,0,0,1,0,0,0,1,4,2,63,1,77500,0,3115,2585,1955,16288,0.57
4,3,2,0,1,0,9,2,0,0,10,0,1,1,23,5,7,0,5,0,0,2,2,3,4,12,1,5,0,0,1,0,0,0,0,5,0,0,1,5,2,0,4,2,0,0,36,1,12,3,1,0,0,1,0,0,1,1,4,3,14.33333333,0,37500,0,1835,1585,1585,7357,0.54
5,1,1,0,0,1,6,4,0,0,10,1,1,1,22,3,7,0,0,0,0,1,2,2,2,2,1,10,0,0,1,0,0,1,2,3,0,0,0,0,0,0,1,1,0,0,2.5,0,4,4,1,0,1,0,0,1,0,1,1,1,42,0,8750,1,544,544,0,2869,0.61
1,3,2,0,0,1,6,2,1,0,7,1,1,1,22,4,3,0,2,3,3,1,3,2,2,4,1,10,0,0,1,1,0,0,2,5,0,1,1,5,3,0,4,3,1,0,26,0,12,3,0,0,1,1,1,1,1,1,3,3,25,0,22500,1,2100,2100,2100,25634,0.35
1,4,1,1,0,0,1,1,0,1,1,0,1,2,1,4,3,0,0,3,3,3,2,1,8,8,1,1,0,0,1,0,0,0,0,7,0,1,2,0,0,0,1,1,0,0,7.5,0,22,3,1,0,0,1,1,0,0,2,3,4,34.25,1,17500,1,3588,2392,683,6881,0.59
7,4,2,0,0,1,16,4,0,0,5,1,0,1,21,5,7,2,0,7,3,4,3,2,2,8,1,5,0,0,1,0,0,0,6,6,0,1,1,6,3,0,5,3,0,1,90,1,12,3,0,0,1,1,1,1,1,1,2,4,23,0,72500,0,1550,1550,1550,26169,0.42
1,2,1,0,0,0,1,2,0,1,7,0,0,2,22,3,3,1,0,3,2,2,3,2,4,4,1,2,0,0,1,0,0,0,2,5,0,0,2,0,0,0,4,3,1,0,23.5,0,7,4,1,0,0,1,0,0,0,4,5,4,26.5,0,47500,0,3120,3120,624,8147,0.57
2,3,3,0,1,1,3,4,1,0,5,1,1,2,22,4,17,1,3,7,2,4,3,5,12,12,1,2,0,0,1,0,0,1,2,7,0,0,2,0,0,0,4,2,1,0,10,1,18,3,1,0,0,1,0,1,1,1,2,3,42,1,97500,0,3147,1905,816,7385,0.55
6,4,2,2,1,1,6,3,1,1,7,1,1,2,21,4,12,1,5,7,3,6,3,2,4,4,2,2,1,0,1,0,0,1,6,9,1,1,1,9,3,1,6,2,0,0,7.5,0,12,3,1,0,0,1,1,1,1,1,5,6,19.33333333,0,130000,0,3223,2823,2823,15452,0.58
2,2,1,1,0,1,28,2,1,0,7,1,0,1,1,4,3,1,8,0,0,3,3,2,8,8,0,0,0,0,0,0,0,0,0,4,0,1,1,4,3,0,1,1,0,0,10.5,1,7,2,1,0,0,1,1,1,1,2,2,5,18.2,0,12500,1,1103,1103,1103,11380,0.45
2,3,2,1,0,1,6,3,0,1,5,1,1,2,21,4,17,0,3,7,3,4,2,2,4,4,2,10,1,0,1,0,0,1,2,9,0,0,3,4,1,1,0,0,1,0,36.5,0,18,3,1,0,0,1,0,1,1,1,5,4,36.25,0,130000,0,3744,2496,1387,8824,0.54
6,3,3,0,0,0,6,3,0,0,7,0,1,2,21,3,3,0,2,7,1,2,1,2,2,2,2,8,5,0,1,0,0,0,2,6,0,0,1,6,2,1,0,0,1,0,0,0,22,4,1,1,0,1,0,1,0,1,5,2,66.5,1,97500,0,3099,3099,3099,5101,0.54
4,2,2,0,0,0,3,4,1,0,7,1,1,2,21,3,12,0,5,3,3,4,2,1,4,4,0,0,0,0,0,0,0,1,2,6,0,1,1,6,3,0,4,2,0,0,31.5,1,18,4,0,0,1,1,1,1,0,1,3,2,84,1,37500,0,960,960,960,15036,0.38
8,3,3,1,1,0,6,1,0,0,7,0,1,4,21,4,7,1,5,13,3,4,3,4,2,2,2,10,10,0,1,0,0,0,6,0,0,0,1,6,3,1,4,2,0,1,53,1,12,4,1,0,0,1,0,1,1,1,7,2,60,1,130000,0,4875,0,3622,54978,0.46
2,4,3,1,0,0,6,2,0,1,7,0,1,1,5,4,2,0,3,7,3,2,2,1,4,4,1,1,0,0,1,0,0,1,2,7,0,0,1,7,2,0,5,3,1,0,99,0,22,3,1,0,0,1,0,0,1,1,5,2,28.5,0,110000,0,1649,1649,1649,10372,0.47
4,3,1,1,0,0,16,3,1,0,18,0,1,1,22,3,12,0,3,13,3,4,3,2,4,12,1,8,0,0,1,0,0,0,0,6,0,0,2,0,0,0,2,3,1,0,5,0,12,2,0,0,1,1,0,0,0,1,3,4,24.25,0,22500,1,1742,1742,581,10223,0.51
4,3,1,0,0,1,16,1,0,1,7,1,1,1,1,3,12,0,0,3,3,2,3,2,8,8,2,2,1,0,1,0,0,0,2,4,0,1,2,0,0,0,5,2,0,0,15.5,0,7,2,0,0,1,1,1,1,1,1,4,3,25,0,37500,0,2080,832,416,20403,0.46
8,4,3,0,1,0,3,4,0,1,5,1,1,1,21,4,7,0,1,3,3,3,3,3,4,8,1,1,0,0,0,0,0,1,2,5,0,0,1,2,1,1,2,2,0,0,26,0,12,4,1,0,0,1,0,1,1,1,6,1,52,0,52500,0,3217,1426,570,4662,0.4
1,3,1,1,0,0,28,4,1,0,5,0,1,1,0,4,2,0,5,3,3,6,3,2,4,8,2,2,1,0,1,1,0,0,2,7,0,0,2,0,0,0,0,0,0,0,66,0,12,2,1,0,0,1,0,0,1,1,2,5,18.8,0,130000,0,4992,2184,2777,15590,0.49
4,1,1,0,0,1,1,2,1,0,5,1,1,1,22,3,7,0,2,0,0,2,2,1,12,12,1,2,0,0,1,0,0,1,0,2,0,0,2,0,0,0,2,3,0,0,2.5,1,4,1,1,0,1,1,0,1,0,1,2,2,71.5,1,17500,1,651,434,217,5007,0.38
2,2,1,0,0,1,1,4,1,0,7,1,1,1,22,3,7,0,0,3,3,2,3,4,4,4,1,2,0,0,1,1,0,1,2,5,0,1,2,0,0,0,2,1,1,0,10.5,0,12,3,0,0,0,1,1,1,0,1,5,1,61,1,42500,0,2208,1104,442,3496,0.5
1,3,1,0,0,1,9,3,0,0,10,1,1,1,21,3,7,1,0,3,1,1,2,1,2,4,0,0,0,0,0,0,0,0,0,4,0,0,1,4,2,0,2,1,0,0,8,0,12,2,1,0,1,1,0,1,0,1,1,1,83,1,3750,1,3380,1396,1396,4600,0.56
5,2,1,0,0,1,1,1,0,0,10,1,0,1,22,2,7,0,0,0,0,1,2,1,4,4,1,5,0,0,1,0,0,1,2,0,0,1,1,3,2,0,0,0,0,0,22.5,0,4,3,0,0,0,1,1,1,1,1,1,5,14.6,0,17500,1,675,0,675,10349,0.48
3,1,1,1,0,1,3,4,0,1,10,1,0,1,23,4,3,0,0,1,3,2,3,2,2,2,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,3,1,1,0,10.5,1,4,3,0,0,1,0,1,1,0,1,5,1,63,1,17500,0,891,297,0,3709,0.37
1,4,2,0,0,0,0,3,1,1,7,0,0,1,22,3,17,0,0,3,3,2,2,2,8,4,4,2,5,2,1,0,0,0,6,7,0,0,0,0,0,0,0,0,1,0,47.5,0,12,2,1,0,0,0,0,0,2,2,5,2,39.5,0,130000,0,2768,2768,0,6630,0.62
3,4,2,1,1,0,6,1,1,1,7,0,1,2,21,4,3,1,3,7,3,2,2,2,4,4,2,10,1,0,1,1,0,1,0,11,0,0,2,0,0,0,1,1,1,0,36,1,30,4,0,0,0,1,0,1,1,1,5,2,62.5,0,130000,0,3723,3040,597,10473,0.52
6,2,1,1,1,1,0,4,1,0,7,1,0,1,21,5,3,1,1,7,3,2,1,2,1,1,1,2,0,0,1,0,0,1,2,6,1,0,0,0,0,0,3,1,1,0,0,1,4,4,1,0,0,0,0,1,2,1,2,1,78,1,22500,0,2381,2131,0,4553,0.61
3,3,1,1,0,0,6,2,0,0,5,0,1,1,22,4,12,0,5,13,3,3,3,2,12,12,0,0,0,0,0,0,0,1,6,6,0,0,2,0,0,0,3,1,0,0,31.5,0,12,2,1,0,1,1,0,0,1,1,1,2,48.5,0,52500,0,2232,1488,496,3618,0.51
2,3,2,0,0,0,3,3,1,1,5,0,0,1,22,3,3,0,0,3,3,4,1,1,8,8,1,1,0,0,1,0,0,1,0,6,0,1,1,6,3,0,6,2,0,0,15.5,0,22,2,1,0,1,1,1,0,1,1,3,4,35,0,42500,0,1188,1188,1188,15578,0.6
1,2,1,0,0,1,6,3,1,1,5,1,1,2,22,3,2,1,0,7,3,4,2,1,8,4,2,2,1,0,1,0,0,0,0,6,0,0,1,6,3,1,1,3,1,0,16,0,18,4,1,0,0,1,0,1,1,1,4,2,33,1,37500,0,2249,1315,1315,7320,0.53
3,2,1,0,0,0,0,4,1,1,10,1,0,1,22,3,12,0,0,0,0,1,2,1,4,8,0,0,0,0,0,0,0,1,0,3,0,1,2,0,0,0,0,0,0,0,24,0,7,2,0,0,0,1,1,1,0,1,1,1,40,0,2000,1,576,576,384,4473,0.46
1,2,1,1,0,1,9,3,1,1,5,1,1,1,22,3,3,0,0,7,3,1,2,1,4,8,0,0,0,0,0,1,0,0,0,4,0,0,1,4,3,1,4,3,1,0,20,0,12,2,1,0,0,1,0,1,1,1,2,1,29,0,27500,0,2176,2176,1088,8298,0.53
2,2,1,0,1,1,16,3,0,0,7,1,0,1,1,2,3,1,0,3,3,2,3,2,4,4,1,2,0,0,1,1,0,0,2,5,0,1,2,0,0,0,5,2,1,0,15,0,7,4,0,0,0,1,1,1,0,1,2,2,72.5,1,37500,0,1920,1670,668,11942,0.49
4,3,2,0,1,1,9,2,0,0,7,1,1,1,1,3,3,1,1,1,3,4,1,1,12,12,0,0,0,0,0,0,0,0,2,7,0,1,1,7,3,0,2,2,1,0,16,1,12,3,0,0,1,1,1,1,0,1,1,2,73,1,22500,0,2095,1845,1845,22117,0.42
4,3,1,0,0,1,6,2,0,0,10,1,1,1,22,4,17,1,1,3,3,3,2,1,8,8,0,0,0,0,0,0,0,0,0,6,0,0,1,6,1,0,7,2,1,0,10.5,0,12,3,1,0,0,1,0,1,0,1,1,2,81.5,1,22500,0,1625,1625,1625,8947,0.54
